x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
39.87614338007717,-26.35477935668656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.838655948903739,0.0,0.0,0.0,0.0,0.0,0.0,-0.6827080744868643,0.0
-26.35477935668656,67.19222402991224,-18.93790195775682,0.0,0.0,0.0,0.0,0.0,-21.899542715468847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-18.93790195775682,54.937810818747046,-35.999908860990224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-35.999908860990224,48.686059718579685,-12.68615085758946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-12.68615085758946,51.1978499284784,-38.51169907088894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-38.51169907088894,61.59027356638057,-23.07857449549163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-23.07857449549163,38.80153576342522,-15.722961267933592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-15.722961267933592,15.722961267933592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-21.899542715468847,0.0,0.0,0.0,0.0,0.0,0.0,21.899542715468847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-12.838655948903739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.653629114945996,-16.814973166042257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.814973166042257,33.970522457176656,-7.7803636548127875,-9.375185636321609,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.7803636548127875,7.7803636548127875,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.375185636321609,0.0,32.86661994815484,-12.838655948903739,-10.652778362929498,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.838655948903739,12.838655948903739,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.652778362929498,0.0,46.63225441832746,-35.97947605539797,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.97947605539797,35.97947605539797,0.0,0.0
-0.6827080744868643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.06110524089423,-41.37839716640737
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.37839716640737,41.37839716640737
