alpha,beta,gamma,objective_total_cost,obj_investment,obj_V_index,obj_Power_loss,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,0.0,200000.0,-0.0359098123233944,475958.62569800176,7.826432008984146,-1.79549061616972e-7,9787.712749657963,9680.127482517992,9573.822206125842,9588.57198713877,9643.489905589238,9646.481507641529,9658.296607539236,9671.928154365716,9580.868023427012,9607.436716885066,9507.55429687329,9496.210758644635,9462.768742762015,9445.102300406523,9441.058809526572,9440.30396032589,9614.740666885802,9602.30255049912
0.0,2500.0,195000.0,-21475.281906667038,482645.872493806,8.590098757845059,-1.7954899747888056e-7,9136.608119047276,9999.99980645226,10000.000025934976,10000.000046495457,10000.000067091683,10000.000065510689,10000.00005461164,10000.00006078355,9999.999898069143,9999.99974938099,9999.999764324335,9868.593790027351,9999.999828119053,9999.999439425797,9999.999496669525,9999.982602682672,7995.542528408007,7870.967589504032
0.0,5000.0,190000.0,-42950.528047964006,489941.9859113556,8.590098786732339,-1.7954896137044942e-7,9334.503476415839,9999.999956989528,10000.000063917041,10000.000073933714,10000.00008396771,10000.000083197518,10000.000077887726,10000.00008089456,10000.000001623448,9999.99992918741,9999.999936472004,9868.606281131191,9999.99996755553,9999.999778182118,9999.999806069582,9999.991575483742,9155.966956047614,9156.144157766781
0.0,7500.0,185000.0,-64425.774188745076,489937.4876333653,8.590098796292553,-1.7954892304033333e-7,9327.652117508655,10000.000007168659,10000.00007657773,10000.000083079749,10000.000089593097,10000.000089093122,10000.000085646416,10000.000087598224,10000.000036141546,9999.999989124442,9999.999993851523,9873.450639349543,10000.00001402926,9999.99989110074,9999.99990920302,9999.994566489468,9155.966951097174,9156.517849204623
0.0,10000.0,180000.0,-85896.35220980969,493221.37655114743,8.589631989100374,-1.7954892179579502e-7,9155.857776726538,10000.00000061503,10000.000081185739,10000.000086728158,10000.000092027816,10000.000091628746,10000.000088814897,10000.000090397638,10000.000039437997,9999.999982365165,10000.00000645122,9875.055056564885,10000.00002892906,9999.99987065589,9999.999949834384,9672.484210701024,9999.999924760521,9999.999923315665
0.0,12500.0,175000.0,-107380.66164098479,493202.27856331546,8.590450417594448,-1.795488789123334e-7,9155.86088369919,10000.00002270059,10000.000085366686,10000.000089677456,10000.000093799412,10000.000093489025,10000.000091300475,10000.000092531496,10000.000052896225,10000.000008506551,10000.000027240154,9876.77712579646,10000.000044723049,9999.999921621084,9999.999983204503,9663.8391974979,9999.999963702618,9999.99996257884
0.0,15000.0,170000.0,-128856.78681644866,493202.1462157907,8.590450419543055,-1.795488422320297e-7,9155.860882400855,10000.000037424292,10000.000088153985,10000.000091643655,10000.000094980476,10000.00009472921,10000.000092957527,10000.000093954068,10000.000061868375,10000.000025934056,10000.000041099356,9876.728989227404,10000.000055252258,9999.999955597932,10000.000005451255,9663.839199236963,9999.999989664018,9999.999988754293
0.0,17500.0,165000.0,-150326.7587550755,489942.008132025,8.590098807401883,-1.7954874284733484e-7,9334.503380580065,10000.000064516205,10000.000091047086,10000.000093532413,10000.000096022071,10000.000095830961,10000.000094513494,10000.000095259553,10000.000075590786,10000.000057619414,10000.000059426498,9868.606936841323,10000.000067139663,10000.000020150504,10000.000027069862,9999.99798485953,9155.966947802532,9156.14414988825
0.0,20000.0,160000.0,-171785.63639558785,489941.63436994806,8.589280383389692,-1.795487087525502e-7,9334.502507659005,10000.000069892538,10000.000092403588,10000.00009451235,10000.000096624788,10000.000096462634,10000.000095344783,10000.000095977803,10000.000079289151,10000.000064040747,10000.000065574044,9868.606972891543,10000.000072118577,10000.000032248916,10000.00003811988,9999.998305333878,9155.9085521794,9156.067585974233
0.0,22500.0,155000.0,-193208.66545308087,489944.0677814773,8.587050561023727,-1.795486857437065e-7,9335.00344495723,10000.000074074129,10000.000093458644,10000.000095274523,10000.000097093567,10000.000096953934,10000.000095991341,10000.000096536442,10000.000082165658,10000.000069035108,10000.000070355458,9869.253404194467,10000.000075991047,10000.00004165879,10000.00004671434,9999.998554592068,9155.85507418784,9155.855074257186
