alpha,beta,gamma,objective_total_cost,obj_investment,obj_V_index,obj_Power_loss,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,0.0,100000.0,-0.017954904310581523,306295.7963910244,8.677911715292103,-1.7954904310581518e-7,4667.422200340798,4674.255794729046,4674.575236758825,4619.363662096648,9915.898373129565,9917.68808793903,9911.623638195533,9908.951693856689,4647.607303800813,4671.735129126643,4840.170298081722,4643.260695968357,5528.69448286519,5427.115425604853,6639.869769494652,7027.231134948074,4630.511359633337,4630.763536265172
0.0,5000.0,95000.0,39185.98481231499,484413.47348466446,7.83720037389461,-1.79549029656745e-7,9999.993630666948,9172.576422491435,9999.999333113463,9999.999896000758,10000.000068435646,10000.00005695828,10000.00000836579,9548.809294388166,9152.858432489722,9670.09059414399,9999.992514786996,9225.083351564235,9999.99986303155,9363.704749446388,9999.998771611365,9379.023204280926,9999.99876243781,9999.99911994032
0.0,10000.0,90000.0,78373.51564450479,480965.49168762646,7.837353180391777,-1.7954902553656546e-7,9999.997073401406,8373.208331543488,9999.9997367138,10000.000003368323,10000.000085048463,10000.000079611826,10000.000056594326,9548.793571666341,9208.437473057656,9669.781771586755,9999.996600819473,8870.063848051688,9999.999987751244,9328.293308501381,9999.999471018486,9264.288804960675,9999.999467362322,9999.999636053415
0.0,15000.0,85000.0,117558.03287670066,484413.4195722046,7.8372032092243336,-1.7954899600894943e-7,9999.998194359436,9172.504860625135,9999.999871264326,10000.000039157845,10000.000090586069,10000.000087163002,10000.000072670504,9548.75177950814,9152.800096467108,9670.178263104013,9999.997896804702,9225.091045081506,10000.000029324849,9363.710068149323,9999.999703974408,9379.076932856166,9999.999701672097,9999.999807885215
0.0,20000.0,80000.0,156744.0497996213,484413.7602633241,7.837203208176984,-1.795489762150305e-7,9999.998754840402,9172.618181547989,9999.999938539553,10000.0000570526,10000.000093354873,10000.000090938589,10000.00008070859,9548.752603575078,9152.829009844603,9670.18133703443,9999.99854480064,9225.088495140897,10000.000050111654,9363.70302490717,9999.999820452456,9379.062183987284,9999.999818827195,9999.999893801234
0.0,25000.0,75000.0,195933.81594846462,482255.2766315426,7.837353176585559,-1.7954898080759686e-7,9999.999091129626,9063.715496999277,9999.999978904676,10000.000067789451,10000.000095016154,10000.000093203942,10000.000085531443,9548.792151247555,9160.682650569146,9649.645843037208,9999.998933599385,9224.924948387637,10000.000062583738,9363.544097248174,9999.99989033931,8718.869372529985,9999.999889120323,9999.999945350884
0.0,30000.0,70000.0,235120.58271634617,483698.70462441654,7.8373531761591755,-1.7954896577998128e-7,9999.999315322675,9173.971182539282,10000.000005814756,10000.000074947353,10000.000096123675,10000.000094714178,10000.000088746678,9546.140192155362,9280.483314800507,9669.136822251605,9999.99919279887,9225.014225283701,10000.000070898463,9361.914989307938,9999.999936930559,8996.494331090915,9999.999935982432,9999.999979717331
0.0,35000.0,65000.0,274307.3494842291,483898.02999220096,7.837353175854567,-1.795489481453143e-7,9999.999475460696,8992.01043086395,10000.000025036237,10000.000080060137,10000.000096914762,10000.000095792917,10000.000091043274,9548.793744442095,9151.153835206242,9669.996112007577,9999.999377941587,9224.936097292257,10000.000076837552,9363.523293295822,9999.999970210029,9374.960409454754,9999.999969455383,10000.000004264803
0.0,40000.0,60000.0,313492.7426906887,484570.387229899,7.837318836590538,-1.7954888918269988e-7,9999.99959556428,9165.467532599832,10000.000039452349,10000.000083894727,10000.000097508077,10000.00009660197,10000.000092765722,9583.72881595362,9181.51944747651,9667.910221047754,9999.999516798749,9220.445225207717,10000.000081291868,9370.687303452114,9999.999995169632,9379.222718359586,9999.999994560103,10000.000022693599
0.0,45000.0,55000.00000000001,352680.8830199874,484407.57583417615,7.837353175448384,-1.79548901817299e-7,9999.999688978223,9172.61494106744,10000.000050664878,10000.000086877186,10000.000097969543,10000.000097231235,10000.000094105402,9548.793742794202,9151.153465992567,9669.987489859515,9999.999624798838,9224.92803649598,10000.000084756337,9363.517401325484,10000.00001458266,9378.99627568646,10000.000014086001,10000.000036994774
