alpha,beta,gamma,objective_total_cost,obj_investment,obj_V_index,obj_Power_loss,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,85000.0,30000.000000000004,-764257.0959773228,491248.9720624737,8.991259889627079,-1.7863414170982819e-7,9177.747574012848,10000.000096154099,10000.000098822578,10000.000099182333,10000.000099510598,10000.00009950569,10000.000099451832,10000.000099514466,10000.000096693513,10000.000090863172,10000.000091743228,9509.94030070959,10000.000092958697,9838.557435611576,10000.000086946626,9462.511344605871,10000.00009370678,10000.000093656423
0.0,90000.0,19999.999999999996,-807812.6620014615,493042.7281726547,8.989872128063446,0.06379147621228141,9112.16683443068,10000.000094475132,10000.000098701687,10000.000099100063,10000.000099458568,10000.000099448116,10000.00009937246,10000.000099446994,10000.000095458832,10000.000085145892,10000.000090604786,9862.665857838414,10000.000093851371,10000.000079451029,10000.000087289183,9663.835530979466,10000.000091382008,10000.000091338778
0.0,95000.0,10000.00000000001,-855788.8521011167,487194.9338045638,9.030007336271083,0.20618448446315352,9056.271954729646,9178.202917707782,10000.000097797907,10000.000098658631,10000.000099248766,10000.000099216224,10000.000098985525,10000.000098996976,10000.000080341102,10000.000094035551,10000.000095711137,10000.000094363135,10000.000096437467,10000.000094118426,10000.00009481456,10000.000090835425,9141.81414859849,9143.613197781462
0.0,100000.0,0.0,-904954.1941179994,482587.21485562355,9.049541941179994,2.646051399053339,9146.630146226451,9999.99671749269,10000.000094423203,10000.00009676543,10000.000098036715,10000.000097265527,10000.00008184389,10000.000094489955,10000.000076412454,10000.000014054589,10000.000076653398,9417.807576534955,10000.000076516591,9247.994076398534,9543.22874967341,9201.521799621438,9146.630146333211,9146.630146338586
0.05,0.0,190000.0,18442.888440395353,368858.45108182816,8.31285043865108,-1.7954576873073934e-7,8009.492471893717,9999.999983903432,10000.000067454768,10000.000078114268,10000.000087543105,10000.000086921436,10000.00008437107,10000.000085806567,9999.999727693685,9999.999463348639,4399.364363757241,2296.3085661556047,9638.475893618943,5784.981801040395,9999.999094278153,3515.7409009634152,0.0018379401280350365,0.0017391911651936452
0.05,5000.0,179999.99999999997,-26366.927278028204,369336.8443625839,8.966747435595469,-1.795454448366646e-7,4024.681224739741,10000.000042232614,10000.000081196928,10000.000087192037,10000.000092651739,10000.00009240416,10000.000091194925,10000.00009215278,10000.000018526682,9999.999850438415,8003.476435479339,3036.87510544502,9999.999761626721,5169.140647373855,9999.999787398574,3573.846327780407,0.0004240993649724717,9.67707088695668
0.05,10000.0,170000.0,-71091.11498994408,370020.6431818405,8.959211662637399,-1.7954507392560834e-7,2878.6713970929695,10000.000062592673,10000.000087204466,10000.000091256901,10000.000094972916,10000.000094840028,10000.000094097291,10000.000094777111,10000.00005587753,9999.999979618033,9999.999720406242,3036.46439376375,9999.999964489045,4763.384291102875,9999.999931427734,3372.6095723387325,0.0042816214626190605,14.316220723327554
0.05,15000.0,160000.0,-115894.52333215704,370733.77993492055,8.962078906783844,-1.795446550277025e-7,2745.5629217771957,10000.00007299924,10000.000090571993,10000.000093556515,10000.000096294722,10000.000096212201,10000.000095699204,10000.000096208025,10000.00007062582,10000.000031821935,9999.999979460054,3167.744251077229,10000.000024016914,4897.809588763068,9999.999991103065,3498.39524563311,0.0049592504709106,14.315604683062753
0.05,20000.0,150000.0,-160782.46404839307,371650.0599325548,8.968247005669754,-1.7954417748836462e-7,2528.431962354501,10000.00007938046,10000.000092739769,10000.000095041914,10000.000097149574,10000.000097093765,10000.000096715985,10000.000097110053,10000.000078594,10000.000054130154,10000.000031676815,3303.649327515769,10000.000049120388,5029.108841761399,10000.000022112881,3617.172729330397,0.007979794911686966,177.44708452030156
0.05,25000.0,140000.0,-205961.44605873348,372624.1428533828,8.983705122611886,-1.7954361166037267e-7,2484.9118234468756,10000.00008369602,10000.000094248575,10000.000096077218,10000.00009774562,10000.000097705692,10000.000097416001,10000.000097728742,10000.000083589026,10000.000066516624,10000.000054119739,3444.927321015134,10000.000062976264,5160.338086370293,10000.00004112953,3733.1975528885355,175.69434782823814,9.67730614782711
