alpha,beta,gamma,objective_total_cost,obj_investment,obj_V_index,obj_Power_loss,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,0.0,1.0,1.2127789635485818e-6,494151.8671753042,8.676465721300008,1.2127789635485848e-6,9943.276797293318,9948.117199176831,9955.615299455842,9959.328366506827,9967.354286684866,9968.372966301664,9970.139137589826,9972.519714259028,9947.739638902885,9937.122654506637,9933.221827435029,9929.23003913545,9931.41310243984,9930.968764172816,9931.175996144908,9931.386257674265,9941.830323059408,9941.719214515724
0.0,0.05,0.95,0.3997734941757189,496271.4817620633,7.995397554980553,3.8067649394000906e-6,9999.598190163402,9999.742491331197,9999.90814862746,9999.942963246169,9999.983068927348,9999.978837087747,9999.965164150643,9999.886836224754,9997.842027243869,9947.031661443832,9975.188363135056,9914.999451222977,9999.866793580175,9977.30832505054,9999.499307002765,9998.432531903669,9999.656726513736,9999.676997950217
0.0,0.1,0.9,0.7995353291159503,496230.62661706866,7.995317309555725,3.9979559677748926e-6,9999.797497546117,9999.870940270655,9999.954121475377,9999.971539760789,9999.99158358635,9999.98946598662,9999.982620341012,9999.943335785512,9998.541422327597,9942.529785515448,9965.624841361896,9916.783563477684,9999.933161531504,9972.108055603825,9999.749282808956,9999.270435008822,9999.826954150354,9999.836689500853
0.0,0.15,0.85,1.1993010351623419,496348.9660997676,7.995316014404133,4.274119686672883e-6,9999.865096179245,9999.913904791942,9999.96944724237,9999.981060306713,9999.994422291427,9999.993010266127,9999.988444398718,9999.962225323194,9999.256182578809,9948.107493355279,9987.985751962287,9915.07547882701,9999.955397710695,9987.45913707059,9999.83279028924,9999.467052721415,9999.884120390238,9999.89090450041
0.0,0.2,0.8,1.5990647949433674,496357.6529302797,7.995305767555183,4.551790429933502e-6,9999.898748126194,9999.935423314353,9999.977111074313,9999.985821380811,9999.995841632031,9999.994782459296,9999.991357117058,9999.971680441102,9999.43978644532,9943.062011509051,9993.240488550742,9915.584277199257,9999.966548826047,9989.380524106109,9999.8745887842,9999.599303364701,9999.912959881056,9999.918068353458
0.0,0.25,0.75,1.9988221442070129,496404.2886199513,7.995283570229398,1.6688661984939956e-6,9999.970625715881,9999.981310882104,9999.993428380332,9999.995956413475,9999.998863933424,9999.998556382196,9999.997561466564,9999.99184155452,9999.835921306145,9948.892565817949,9996.856383348486,9915.112095801329,9999.990349163172,9996.213110900773,9999.963657500324,9999.883152248016,9999.974722596724,9999.976208165117
0.0,0.3,0.7,2.398592430256054,496330.5390351744,7.995295905221562,5.226699396467892e-6,9999.932467258426,9999.956962013122,9999.984774324023,9999.990581449505,9999.997260948947,9999.996554694506,9999.994270368883,9999.981143245433,9999.624856191544,9937.725152862105,9990.389510564657,9914.818626384837,9999.977718644694,9987.999697580028,9999.916408333333,9999.732230155363,9999.94191426821,9999.945318239352
0.0,0.35,0.65,2.7988887699536757,496410.03141189716,7.9968214347313475,1.950458007492549e-6,9999.979042750623,9999.986677721938,9999.99533458177,9999.997140317353,9999.999217067607,9999.998997369967,9999.998286628854,9999.994200033405,9999.882699516613,9948.99148309486,9997.718333235898,9915.114912242454,9999.993134154724,9997.201996653484,9999.974068401265,9999.91651374058,9999.981966954681,9999.983028829984
0.0,0.4,0.6,3.198327076221777,496390.97103473527,7.995808499073636,6.127653836107887e-6,9999.949350186322,9999.967739101165,9999.98860592914,9999.992961263926,9999.997970633907,9999.997440880057,9999.995727310039,9999.985878268057,9999.71803698041,9948.703086821684,9994.793599076094,9915.104608351687,9999.983307471457,9993.97112369308,9999.93732422599,9999.798938670527,9999.956422770461,9999.958977907772
0.0,0.45,0.55,3.598079131176634,496394.3544610484,7.995723210977886,6.702248354349043e-6,9999.954982028725,9999.97133254764,9999.989883077244,9999.99375448802,9999.99820720051,9999.997736286603,9999.996213005721,9999.987457101783,9999.749191256093,9948.74978256652,9995.324164033045,9915.106549710374,9999.985171766597,9994.532238950904,9999.944297420818,9999.821214698235,9999.961265157282,9999.963537344625
0.0,0.5,0.5,3.998084055262626,496397.2386870415,7.996160718388871,7.392136349855978e-6,9999.959488764925,9999.974207702382,9999.99090478905,9999.994389059173,9999.998396457355,9999.99797261839,9999.996601585182,9999.988720383071,9999.774147374259,9948.826847887725,9995.756744167635,9915.108429461317,9999.986663504822,9994.997220842833,9999.949876333221,9999.839049041413,9999.965141212839,9999.96718687289
0.0,0.55,0.44999999999999996,4.397411578814448,496395.16411038686,7.995287040573612,8.236664315716918e-6,9999.963184098082,9999.976560898895,9999.991740726271,9999.994908257691,9999.99855130649,9999.9981659869,9999.996919532025,9999.989754112798,9999.794575728794,9946.77282415215,9996.078177538398,9914.99758228127,9999.98788428423,9996.032906681101,9999.954441921485,9999.853652125714,9999.968319174153,9999.970181043875
0.0,0.6,0.4,4.797023487032056,496366.7194235954,7.995036961103047,3.275925416613527e-6,9999.987808770558,9999.99226917391,9999.997320148539,9999.998373529363,9999.999584936624,9999.9994567663,9999.999042106365,9999.996657559286,9999.931533154115,9944.21448026969,9997.090927188829,9914.706719036676,9999.996036760442,9987.18818515178,9999.984914696746,9999.951314870417,9999.98951994153,9999.990139850233
0.0,0.65,0.35,5.198394662017619,496405.04000979656,7.997524510491265,1.065770937865733e-5,9999.96885368498,9999.980180329927,9999.993026798556,9999.995707000691,9999.99878954218,9999.998463484444,9999.997408709065,9999.991344782184,9999.826073365355,9947.695808412605,9997.725090818763,9915.059994884607,9999.989761783394,9996.892491467222,9999.961464359481,9999.876126968493,9999.973196633775,9999.974771248404
0.0,0.7,0.30000000000000004,5.598181454299429,496404.7610780345,7.997396727943286,1.2482463669927243e-5,9999.971083381719,9999.98160255612,9999.993532016475,9999.996020784507,9999.998883135682,9999.998580361049,9999.997600894178,9999.991969746477,9999.838455716024,9948.938797073211,9996.903766767946,9915.113019170522,9999.99050057619,9996.282798213428,9999.964223478668,9999.884963555452,9999.975116010632,9999.97657860322
0.0,0.75,0.25,5.99899704725568,496405.93736907706,7.9986577123587725,1.5051946156095758e-5,9999.973016153897,9999.982835244955,9999.993969883533,9999.996292735508,9999.998964251638,9999.998681656372,9999.997767460949,9999.992511436996,9999.849191211113,9948.935982292785,9997.098511518667,9915.113480088601,9999.991140241913,9996.487177215104,9999.96661481106,9999.892623404252,9999.97677977753,9999.97814506335
0.0,0.8,0.19999999999999996,6.3962305451967545,496407.1521608275,7.995283446439263,1.8940226834592327e-5,9999.97470766989,9999.983913855613,9999.994353010527,9999.99653068946,9999.99903522861,9999.99877029095,9999.997913210367,9999.992985449484,9999.858588663186,9948.932924243381,9997.271045709325,9915.114401769006,9999.991699975757,9996.731170624396,9999.968707246971,9999.899327232475,9999.978235677794,9999.979515839565
0.0,0.85,0.15000000000000002,6.795977101780373,496408.03854626237,7.995262673319328,2.5529726659003117e-5,9999.976200303367,9999.984865576962,9999.994691057544,9999.996740645152,9999.999097855494,9999.99884849789,9999.998041813104,9999.99340369236,9999.866879681982,9948.949202322918,9997.424131089281,9915.114714490654,9999.992193895334,9996.859926633217,9999.97055351238,9999.905243305297,9999.979520585235,9999.980725571677
0.0,0.9,0.09999999999999998,7.196086904186579,496408.95230508625,7.9956476947642665,3.978898684279614e-5,9999.97752641061,9999.985711178446,9999.994991467265,9999.996927239927,9999.999153520575,9999.998918010404,9999.998156114785,9999.993775344208,9999.874226678703,9948.96394680791,9997.561223444734,9915.115093340191,9999.992632939415,9997.018612621265,9999.972194419162,9999.910500646787,9999.980662058137,9999.981800324942
0.0,0.95,0.050000000000000044,7.595402477136922,495898.6278853644,7.990386657565673,0.09070304899178884,9999.966823661473,9999.971341715338,9999.992524383571,9999.995912228367,9999.999065802165,9999.99877246787,9999.99778035128,9999.990180535782,9901.296661582035,9950.76309718383,9997.681187671065,9915.22131953008,9999.99183150956,9938.89597694552,9999.961511377618,9969.734665557762,9999.97774225301,9999.979505737996
0.0,1.0,0.0,7.976817267807089,494254.91709844035,7.976817267807086,3.796533404854701,9900.269341442421,9900.2560757699,9901.676730698247,9999.95241230514,9999.993212619152,9999.960302883821,9908.329813833916,9999.895586789715,9916.57668681527,9963.568876121617,9926.67249269664,9909.673953208065,9967.23391424937,9919.48521882439,9954.98406436579,9909.596444714365,9999.853523796934,9999.88986279294
0.05,0.0,0.95,9153.35241493009,183026.39895030987,9.006646340250944,2.139439383765783,2875.0511744074743,3197.9281160133532,3916.8578228157066,4514.096521444987,6197.817122727447,5810.721613478756,5346.521431577444,5656.896239507064,3173.5180173591943,3105.1061302070534,3091.336038019601,2894.255720953207,3362.486327371151,3284.073659933804,3408.179631862534,3321.5885236836853,1587.785949904919,1569.6926218883837
0.05,0.05,0.8999999999999999,8964.968985799454,179251.35639108287,8.89712957315342,2.1736775184970325,1779.5782832764612,2463.3762643832515,3731.8636137721314,4746.505554371276,9611.322436276268,6845.097326083745,5755.741777647409,6716.159886921719,2564.001072494467,2285.5481234318804,2156.0397285298736,1888.843025483233,2661.549841450776,3067.8599740844083,4508.837834423811,4161.700039487454,0.6659592397958632,1.4528785996085527
0.05,0.1,0.85,9018.473370575553,180315.13919338465,8.770900041013357,2.1639069437485183,2148.124603460369,2626.648503595501,3599.7586752811912,4788.336570034843,9628.895386366916,6172.605136319128,5055.054978997348,5703.813266127944,2723.3533520013225,2784.913856139773,2636.039855864325,2346.4523982972137,3450.897151860432,3244.939826795668,3885.158076503328,3396.077095354244,569.8106151991917,570.692823317447
0.05,0.15,0.7999999999999999,8921.576032189962,178370.44566852305,8.7458729511888,2.177334776341099,0.0002082304959685997,0.0005927964726146329,2622.453860642965,10000.000096912756,10000.000099304882,10000.000098621269,4576.24338933839,6170.890861444229,470.0102057582253,2290.6943842530304,1890.2664914504762,1193.9717362610645,4972.607582545185,3081.7494239260113,6164.854759194174,1193.2292321352977,2.325936263201554e-5,2.223117395152652e-5
